	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	todo2	C87H143N7O23P2	1715.971057	NA	C05897	46173752	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
	p-Xylene;;1,4-Dimethylbenzene;;p-Methyltoluene	todo2	C8H10	106.07825	NA	C06756	7809	p-Xylene
	Ethylbenzene;;Phenylethane;;Ethylbenzol;;Ethylenzene	todo2	C8H10	106.07825	NA	C07111	7500	Ethylbenzene
	m-Xylene;;1,3-Dimethylbenzene;;1,3-Xylene	todo2	C8H10	106.07825	NA	C07208	7929	m-Xylene
	o-Xylene;;o-Dimethylbenzene;;o-Methyltoluene	todo2	C8H10	106.07825	NA	C07212	7237	o-Xylene
	"Clavaminic acid"	todo	C8H10N2O4	198.064057		C06660	5460408	"Clavaminic acid"
	Caffeine	Xenobiotics	C8H10N4O2	194.080376	HMDB01847	C07481	2519	Caffeine
	"1,3,7-Trimethyluric acid;;1,3,7-Trimethylurate"	todo2	C8H10N4O3	210.07529	HMDB02123	C16361	79437	"1,3,7-Trimethyluric acid"
	5-Acetylamino-6-formylamino-3-methyluracil;;AFMU	todo2	C8H10N4O4	226.070205	HMDB11105	C16365	108214	5-Acetylamino-6-formylamino-3-methyluracil
	"Pyridoxal 5-phosphate"	"Cofactors and vitamins"	C8H10NO6P	247.024574	HMDB01491	C00018	1051	"Pyridoxal 5-phosphate"
	"Methylbenzyl alcohol"	todo	C8H10O	122.073165	HMDB28487;HMDB41472;HMDB28488;HMDB41473;HMDB40460;HMDB27339;HMDB41609	C06757;C07213;C07216	6994;11476;11505	"Methylbenzyl alcohol"
	"Phenylethyl alcohol;;Phenethyl alcohol;;2-Phenylethanol"	todo2	C8H10O	122.073165	HMDB33944	C05853	6054	"Phenylethyl alcohol"
	"(S)-1-Phenylethanol;;(S)-1-Phenethyl alcohol"	todo2	C8H10O	122.073165	NA	C11348	443135	(S)-1-Phenylethanol
	4-Ethylphenol;;p-Ethylphenol	todo2	C8H10O	122.073165	HMDB29306	C13637	31242	4-Ethylphenol
	4-Hydroxyphenylethanol;;Tyrosol	todo2	C8H10O2	138.06808	HMDB04284	C06044	10393	4-Hydroxyphenylethanol
	3-Ethylcatechol;;2,3-Dihydroxyethylbenzene;;3-Ethyl-benzene-1,2-diol	todo2	C8H10O2	138.06808	HMDB40177	C06728	70278	3-Ethylcatechol
	Styrene-cis-2,3-dihydrodiol;;cis-3-Ethenylcyclohexa-3,5-diene-1,2-diol	todo2	C8H10O2	138.06808	NA	C07084	441225	Styrene-cis-2,3-dihydrodiol
	1-(4-Hydroxyphenyl)ethanol;;4-Hydroxy-alpha-methyl-benzenemethanol;;4-(1-Hydroxyethyl)phenol	todo2	C8H10O2	138.06808	NA	C13638	102803	1-(4-Hydroxyphenyl)ethanol
	"Vanillyl alcohol;;4-Hydroxy-3-methoxy-benzenemethanol;;4-Hydroxy-3-methoxybenzyl alcohol;;4-Hydroxy-3-methoxybenzenemethanol"	todo2	C8H10O3	154.062994	HMDB18590	C06317	62348	"Vanillyl alcohol"
	3,4-dihydroxyphenethyleneglycol	"Amino acids"	C8H10O4	170.057909	HMDB00318	C05576	91528	3,4-dihydroxyphenethyleneglycol
	1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate;;1,2-Dihydroxy-3-methylcyclohexa-3,5-dienecarboxylate	todo2	C8H10O4	170.057909	NA	C06720	441149	1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate
	"cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate;;4-Methylcyclohexa-3,5-diene-1,2-cis-diol-1-carboxylic acid"	todo2	C8H10O4	170.057909	NA	C06729	441156	cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate
	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate	todo2	C8H10O4	170.057909	NA	C06731	441157	1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate
	2-Hydroxy-6-oxo-octa-2,4-dienoate	todo2	C8H10O4	170.057909	NA	C07123	9776835	2-Hydroxy-6-oxo-octa-2,4-dienoate
	Homo-2-aconitate	todo	C8H10O6	202.047738		C20581	25244890	Homo-2-aconitate
	"Trichloroethanol glucuronide;;Urochloralic acid;;2,2,2-Trichloroethyl beta-D-glucopyranosiduronic acid"	todo2	C8H11Cl3O7	323.957036	HMDB42049	C14869	3036914	"Trichloroethanol glucuronide"
	Phenethylamine;;2-Phenylethylamine;;beta-Phenylethylamine;;Phenylethylamine	todo2	C8H11N	121.089149	HMDB12275	C05332	1001	Phenethylamine
	2,6-Dimethylaniline;;2,6-DMA;;2,6-Xylidine	todo2	C8H11N	121.089149	NA	C11004	6896	2,6-Dimethylaniline
	Phenylethanolamine	Xenobiotics	C8H11NO	137.084064	HMDB01065	C02735	1000	Phenylethanolamine
	Tyramine	"Amino acids"	C8H11NO	137.084064	HMDB00306	C00483	5610	Tyramine
	4-Hydroxy-2,6-dimethylaniline;;3,5-Dimethyl-4-aminophenol	todo2	C8H11NO	137.084064	NA	C16570	76543	4-Hydroxy-2,6-dimethylaniline
	Dopamine	"Amino acids"	C8H11NO2	153.078979	HMDB00073	C03758	681	Dopamine
	Vanillylamine	todo	C8H11NO2	153.078979	HMDB12309	C16666	70966	Vanillylamine
	Noradrenaline	todo	C8H11NO3	169.073893	HMDB00216;HMDB14512	C00547	439260	Noradrenaline
	Pyridoxine	"Cofactors and vitamins"	C8H11NO3	169.073893	HMDB00239	C00314	1054	Pyridoxine
	2-(Hydroxymethyl)-3-(acetamidomethylene)succinate;;2-(Acetamidomethylene)-3-(hydroxymethyl)succinate	todo2	C8H11NO6	217.058637	NA	C04690	5280716	2-(Hydroxymethyl)-3-(acetamidomethylene)succinate
	Pyridoxamine;;PM	todo2	C8H12N2O2	168.089878	HMDB29211	C00534	1052	Pyridoxamine
	"6-Aminopenicillanate;;6-Aminopenicillanic acid"	todo2	C8H12N2O3S	216.056863	NA	C02954	11082	6-Aminopenicillanate
	Bisnorbiotin	todo2	C8H12N2O3S	216.056863	NA	C20384	86492	Bisnorbiotin
	"Pyridoxine phosphate"	todo	C8H12NO6P	249.040224	HMDB01319	C00627	1055	"Pyridoxine phosphate"
	cis-1,2-Dihydro-3-ethylcatechol;;cis-2,3-Dihydroxy-2,3-dihydroethylbenzene;;cis-3-Ethyl-cyclohexa-3,5-diene-1,2-diol	todo2	C8H12O2	140.08373	NA	C06727	441155	cis-1,2-Dihydro-3-ethylcatechol
	"2-Propyl-2,4-pentadienoic acid;;2,4-Diene-VPA"	todo2	C8H12O2	140.08373	NA	C16656	6441809	"2-Propyl-2,4-pentadienoic acid"
	2-oxosuberate	todo	C8H12O5	188.068473		C16589	146903	2-oxosuberate
	Homo-2-citrate	todo	C8H12O7	220.058303		C16583	24892801	Homo-2-citrate
	Homo-2-isocitrate	todo	C8H12O7	220.058303		C16597	24892803	Homo-2-isocitrate
	"Pyridoxamine phosphate;;Pyridoxamine 5-phosphate;;Pyridoxamine 5-phosphate"	todo2	C8H13N2O5P	248.056208	HMDB01555	C00647	1053	"Pyridoxamine phosphate"
	gamma-Glutamyl-beta-aminopropiononitrile;;gamma-Glutamyl-3-aminopropiononitrile	todo2	C8H13N3O3	199.095691	NA	C06114	440920	gamma-Glutamyl-beta-aminopropiononitrile
	Tropinone;;3-Tropanone	todo2	C8H13NO	139.099714	NA	C00783	79038	Tropinone
	1-Indolizidinone;;1-Ketooctahydroindolizine	todo2	C8H13NO	139.099714	NA	C16697	13818693	1-Indolizidinone
	Retronecine	todo2	C8H13NO2	155.094629	NA	C06177	10198	Retronecine
	6-Acetamido-2-oxohexanoate;;2-Oxo-6-acetamidocaproate	todo2	C8H13NO4	187.084458	HMDB12150	C05548	194080	6-Acetamido-2-oxohexanoate
	O-Succinyl-homoserine	todo	C8H13NO6	219.074287		C01118	439406	O-Succinyl-homoserine
	Atrazine	todo2	C8H14ClN5	215.093773	HMDB41830	C06551	2256	Atrazine
	"Proclavaminic acid"	todo	C8H14N2O4	202.095357		C06658	194953	"Proclavaminic acid"
	Gamma-glutamylcystein	Peptides	C8H14N2O5S	250.062343	HMDB01049	C00669	123938	Gamma-glutamylcystein
	"Aminoimidazole ribotide"	todo	C8H14N3O7P	295.056936	HMDB01235	C03373	161500	"Aminoimidazole ribotide"
	"2-n-Propyl-4-pentenoic acid;;4-En-valproic acid;;4-Ene-VPA"	todo2	C8H14O2	142.09938	HMDB13897	C16648	104896	"2-n-Propyl-4-pentenoic acid"
	"2-n-Propyl-2-pentenoic acid;;2-En-valproic acid;;2-Ene-VPA"	todo2	C8H14O2	142.09938	HMDB32459	C16653	6437068	"2-n-Propyl-2-pentenoic acid"
	"2-n-Propyl-3-pentenoic acid;;3-En-valproic acid;;3-Ene-VPA"	todo2	C8H14O2	142.09938	HMDB13903	C16654	24892812	"2-n-Propyl-3-pentenoic acid"
	"(Z)-3-Hexen-1-ol acetate;;(3Z)-Hex-3-en-1-yl acetate;;cis-3-Hexenyl acetate"	todo2	C8H14O2	142.09938	HMDB40215	C19757	5363388	"(Z)-3-Hexen-1-ol acetate"
	"Lipoate;;Lipoic acid;;alpha-Lipoic acid;;Thioctic acid"	todo2	C8H14O2S2	206.043522	HMDB14312	C00725	864	Lipoate
	"3-Oxovalproic acid;;2-n-Propyl-3-oxopentanoic acid;;3-Keto-VPA"	todo2	C8H14O3	158.094294	NA	C16652	173719	"3-Oxovalproic acid"
	"2-n-Propyl-4-oxopentanoic acid;;4-Oxovalproic acid;;4-Keto-VPA"	todo2	C8H14O3	158.094294	NA	C16655	3731686	"2-n-Propyl-4-oxopentanoic acid"
	"2-Oxo-7-methylthioheptanoic acid;;7-(Methylthio)-2-oxo-heptanoic acid"	todo2	C8H14O3S	190.066365	NA	C17220	22266655	"2-Oxo-7-methylthioheptanoic acid"
	"2-Propylglutaric acid;;2-PGA"	todo2	C8H14O4	174.089209	NA	C16658	134970	"2-Propylglutaric acid"
	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate	todo2	C8H14O5	190.084124	NA	C04546	5459971	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate
	"2-(3-Methylthio)propylmalic acid;;2-(3-Methylthio)propylmalate"	todo2	C8H14O5S	222.056195	NA	C17214	24883455	"2-(3-Methylthio)propylmalic acid"
	"3-(3-Methylthio)propylmalic acid;;3-(3-Methylthio)propylmalate"	todo2	C8H14O5S	222.056195	NA	C17215	44237293	"3-(3-Methylthio)propylmalic acid"
	Ketodeoxyoctonate	todo	C8H14O8	238.068867		C01187	119228	Ketodeoxyoctonate
	N-Formyl-GAR	todo	C8H15N2O9P	314.051517	HMDB01308	C04376	130805	N-Formyl-GAR
	N-Acetyl-L-citrulline	todo2	C8H15N3O4	217.106256	HMDB00856	C15532	656979	N-Acetyl-L-citrulline
	Hydroxyatrazine;;4-(Ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine	todo2	C8H15N5O	197.12766	NA	C06552	16553	Hydroxyatrazine
	Tropine;;3alpha-Tropanol	todo2	C8H15NO	141.115364	NA	C00729	8424	Tropine
	Pseudotropine	todo2	C8H15NO	141.115364	NA	C02066	8424	Pseudotropine
	Hygrine;;(+)-Hygrine	todo2	C8H15NO	141.115364	NA	C06179	440933	Hygrine
	Pelletierine	todo2	C8H15NO	141.115364	HMDB30325	C06182	92987	Pelletierine
	Trachelanthamidine	todo2	C8H15NO	141.115364	NA	C12440	188288	Trachelanthamidine
	Hexanoylglycine	Lipids	C8H15NO3	173.105193	HMDB00701		99463	Hexanoylglycine
	Swainsonine	todo2	C8H15NO3	173.105193	NA	C10173	51683	Swainsonine
	N-acetyl-galactosamine	Carbohydrates	C8H15NO6	221.089937	HMDB00853;HMDB00212	C01132;C01074	35717	N-acetyl-galactosamine
	N-acetyl-glucosamine	todo2	C8H15NO6	221.089937	HMDB14288	C00140	439174	N-Acetyl-D-glucosamine
	N-acetyl-mannosamine	todo2	C8H15NO6	221.089937	HMDB11744	C00645	439281	N-Acetyl-D-mannosamine
	Lipoamide	Xenobiotics	C8H15NOS2	205.059506	HMDB00962	C00248	863	Lipoamide
	"3-Deoxy-D-manno-octulosonate 8-phosphate;;2-Dehydro-3-deoxy-D-octonate 8-phosphate"	todo2	C8H15O11P	318.035198	NA	C04478	15942880	"3-Deoxy-D-manno-octulosonate 8-phosphate"
	Glycylleucine	Peptides	C8H16N2O3	188.116092	HMDB00759	C02155	92843	Glycylleucine
	Isoleucylglycine	Peptides	C8H16N2O3	188.116092	HMDB28907		342532	Isoleucylglycine
	N2-acetyllysine	"Amino acids"	C8H16N2O3	188.116092	HMDB00446	C12989	907	N2-acetyllysine
	N6-acetyllysine	"Amino acids"	C8H16N2O3	188.116092	HMDB00206	C02727	265949	N6-acetyllysine
	S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine	todo2	C8H16N2O3S2	252.060234	NA	C17242	46173872	S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine
	N6-Acetyl-N6-hydroxy-L-lysine;;N6-Acetyl-N6-hydroxylysine	todo2	C8H16N2O4	204.111007	NA	C03955	128888	N6-Acetyl-N6-hydroxy-L-lysine
	L-Homocystine;;Homocystine	todo2	C8H16N2O4S2	268.055149	HMDB00575	C01817	439579	L-Homocystine
	Homocystine	"Amino acids"	C8H16N2O4S2	268.05514839	HMDB00575;HMDB00676	C01817	69382	
	Phosphoribosylformylglycinamidine	todo	C8H16N3O8P	313.067501	HMDB02305;HMDB00999;HMDB06211	C04640	5462266	Phosphoribosylformylglycinamidine
	N-acetylarginine	"Amino acids"	C8H16N4O3	216.12224	HMDB04620	C02562	67427	N-acetylarginine
	"N-acetylglucosamine 6-phosphate"	Carbohydrates	C8H16NO9P	301.056268	HMDB02817	C00357	10040501	"N-acetylglucosamine 6-phosphate"
	"N-Acetyl-D-mannosamine 6-phosphate;;N-Acetylmannosamine 6-phosphate"	todo2	C8H16NO9P	301.056268	HMDB01121	C04257	11426583	"N-Acetyl-D-mannosamine 6-phosphate"
	"N-Acetyl-alpha-D-glucosamine 1-phosphate"	todo2	C8H16NO9P	301.056268	NA	C04501	440364	"N-Acetyl-alpha-D-glucosamine 1-phosphate"
	"N-Acetyl-D-galactosamine 6-phosphate"	todo2	C8H16NO9P	301.056268	NA	C06376	16019956	"N-Acetyl-D-galactosamine 6-phosphate"
	"Caprylic acid"	Lipids	C8H16O2	144.11503	HMDB00482	C06423	379	"Caprylic acid"
	"Valproic acid"	todo2	C8H16O2	144.11503	HMDB01877	C07185	3121	"Valproic acid"
	"4-Hydroxyvalproic acid;;2-n-Propyl-4-hydroxypentanoic acid;;4-OH-VPA"	todo2	C8H16O3	160.109944	HMDB13900	C16649	134467	"4-Hydroxyvalproic acid"
	"5-Hydroxyvalproic acid;;2-n-Propyl-5-hydroxypentanoic acid;;5-OH-VPA"	todo2	C8H16O3	160.109944	HMDB13898	C16650	135244	"5-Hydroxyvalproic acid"
	"3-Hydroxyvalproic acid;;2-n-Propyl-3-hydroxypentanoic acid;;3-OH-VPA"	todo2	C8H16O3	160.109944	HMDB13899	C16651	134459	"3-Hydroxyvalproic acid"
	"Trihomomethionine;;2-Amino-7-(methylsulfanyl)heptanoic acid"	todo2	C8H17NO2S	191.098	NA	C17221	22266650	Trihomomethionine
	"7-Methylthioheptanaldoxime;;7-(Methylsulfanyl)heptanal oxime"	todo2	C8H17NOS	175.103085	NA	C17249	25010753	7-Methylthioheptanaldoxime
	Dimethylarginine	"Amino acids"	C8H18N4O2	202.142976	HMDB01539;HMDB03334	C03626	123831	Dimethylarginine
	Octulose-1,8-bisphosphate	Carbohydrates	C8H18O14P2	400.017179			130470	
	"Carboxyspermidine;;2-Amino-4-[(4-aminobutyl)amino]-butanoic acid"	todo2	C8H19N3O2	189.147727	NA	C18172	46174065	Carboxyspermidine
	"Streptidine 6-phosphate"	todo2	C8H19N6O7P	342.105284	NA	C01121	5280401	"Streptidine 6-phosphate"
	Glycerophosphorylcholine	Lipids	C8H20NO6P	257.102824	HMDB00086	C00670	657272	Glycerophosphorylcholine
	sym-Homospermidine;;Homospermidine	todo2	C8H21N3	159.173548	HMDB18038	C06366	368	sym-Homospermidine
	Aminopropylcadaverine	todo2	C8H21N3	159.173548	HMDB12189	C16565	65523	Aminopropylcadaverine
	"2,4,5-Trichlorophenoxyacetic acid;;2,4,5-T"	todo2	C8H5Cl3O3	253.930427	NA	C07100	1480	"2,4,5-Trichlorophenoxyacetic acid"
	Indole-5,6-quinone	todo2	C8H5NO2	147.032028	HMDB06779	C05579	440728	Indole-5,6-quinone
	"2,4-Dichlorophenoxyacetate;;2,4-Dichlorophenoxyacetic acid;;2,4-D"	todo2	C8H6Cl2O3	219.969399	HMDB41797	C03664	1486	2,4-Dichlorophenoxyacetate
	Phenylglyoxal	Xenobiotics	C8H6O2	134.036779	HMDB61916		14090	Phenylglyoxal
	"alpha-Oxo-benzeneacetic acid;;Benzoylformate;;Benzoylformic acid;;Phenylglyoxylic acid;;Phenylglyoxylate;;2-Oxo-2-phenylacetate"	todo2	C8H6O3	150.031694	HMDB01587	C02137	11915	"alpha-Oxo-benzeneacetic acid"
	"2-Carboxybenzaldehyde;;Phthalaldehydic acid;;o-Formylbenzoic acid;;2-Formylbenzoic acid;;2-Formylbenzoate"	todo2	C8H6O3	150.031694	NA	C03057	8406	2-Carboxybenzaldehyde
	Phthalate	todo	C8H6O4	166.026609	HMDB02107;HMDB02428	C01606;C06337	1017;7489	Phthalate
	"4-Hydroxyphenylglyoxylate;;4-Hydroxybenzoylformate;;4-Hydroxyphenylglyoxylic acid;;2-(4-Hydroxyphenyl)-2-oxoacetate"	todo2	C8H6O4	166.026609	NA	C03590	355	4-Hydroxyphenylglyoxylate
	"3-Formylsalicylic acid;;2-Hydroxyisophthalaldehydic acid"	todo2	C8H6O4	166.026609	NA	C14096	69117	"3-Formylsalicylic acid"
	"4-Formylsalicylic acid;;4-Formyl-2-hydroxybenzoic acid"	todo2	C8H6O4	166.026609	NA	C14100	656876	"4-Formylsalicylic acid"
	4-Hydroxyphthalate	todo2	C8H6O5	182.021523	NA	C06680	11881	4-Hydroxyphthalate
	3,5-Dihydroxyphenylglyoxylate;;2-(3,5-Dihydroxyphenyl)-2-oxoacetate	todo2	C8H6O5	182.021523	NA	C12325	443765	3,5-Dihydroxyphenylglyoxylate
	"2-Hydroxyisophthalic acid;;2-Hydroxy-1,3-benzenedicarboxylic acid"	todo2	C8H6O5	182.021523	NA	C14097	11812	"2-Hydroxyisophthalic acid"
	Dihydroxyphthalate	todo	C8H6O6	198.016438		C03223;C03233	45746;134092	Dihydroxyphthalate
	"4-Chlorophenylacetate;;4-Chlorophenylacetic acid"	todo2	C8H7ClO2	170.013457	NA	C03077	15880	4-Chlorophenylacetate
	4-Chlorophenoxyacetate;;4-CPA	todo2	C8H7ClO3	186.008372	NA	C07088	26229	4-Chlorophenoxyacetate
	Indole	Xenobiotics	C8H7N	117.057849	HMDB00738	C00463	798	Indole
	"Phenylacetonitrile;;Benzyl cyanide"	todo2	C8H7N	117.057849	HMDB34171	C16074	8794	Phenylacetonitrile
	"Mandelonitrile;;Benzaldehyde cyanohydrin;;(R)-Mandelonitrile"	todo2	C8H7NO	133.052764	HMDB21316	C00561	9548674	Mandelonitrile
	Indoxyl;;1H-Indol-3-ol	todo2	C8H7NO	133.052764	HMDB04094	C05658	50591	Indoxyl
	Indolin-2-one	todo2	C8H7NO	133.052764	NA	C12312	321710	Indolin-2-one
	Hydroxymandelonitrile	todo	C8H7NO2	149.047678		C03742	440104	Hydroxymandelonitrile
	2,3-Dihydroxyindole;;Dihydroxyindole	todo2	C8H7NO2	149.047678	NA	C02775	21860	2,3-Dihydroxyindole
	2-Formylaminobenzaldehyde	todo2	C8H7NO2	149.047678	NA	C03574	400	2-Formylaminobenzaldehyde
	5,6-Dihydroxyindole;;DHI	todo2	C8H7NO2	149.047678	HMDB04058	C05578	114683	5,6-Dihydroxyindole
	3-Hydroxyindolin-2-one;;1,3-Dihydro-3-hydroxy-2H-indol-2-one;;Dioxindole	todo2	C8H7NO2	149.047678	NA	C11130	6097	3-Hydroxyindolin-2-one
	"4-Pyridoxolactone;;4-Pyridoxic acid lactone"	todo2	C8H7NO3	165.042593	HMDB03454	C00971	151228	4-Pyridoxolactone
	"Formylanthranilate;;N-Formylanthranilate;;2-(Formylamino)-benzoic acid"	todo2	C8H7NO3	165.042593	HMDB04089	C05653	101399	Formylanthranilate
	5-Pyridoxolactone	todo2	C8H7NO3	165.042593	HMDB04291	C06052	78300	5-Pyridoxolactone
	HBOA;;2-Hydroxy-1,4-benzoxazin-3-one	todo2	C8H7NO3	165.042593	HMDB38318	C15769	322636	HBOA
	2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate;;5-Formyl-3-hydroxy-2-methylpyridine-4-carboxylate	todo2	C8H7NO4	181.037508	HMDB06954	C06050	440898	2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate
	DIBOA;;2,4-Dihydroxy-1,4-benzoxazin-3-one;;2,4-Dihydroxy-2H-1,4-benzoxazin-3(4H)-one	todo2	C8H7NO4	181.037508	HMDB33733	C15770	28495	DIBOA
	"3-indoxyl sulfuric acid"	"Amino acids"	C8H7NO4S	213.009579	HMDB00682		10258	"3-indoxyl sulfuric acid"
	3-Hydroxy-2-methylpyridine-4,5-dicarboxylate	todo2	C8H7NO5	197.032422	HMDB06955	C04604	440403	3-Hydroxy-2-methylpyridine-4,5-dicarboxylate
	Styrene;;Phenylethylene	todo2	C8H8	104.0626	HMDB20555	C07083	7501	Styrene
	"Nicotinurate;;Nicotinuric acid;;Nicotinylglycine"	todo2	C8H8N2O3	180.053492	HMDB03269	C05380	68499	Nicotinurate
	"Isonicotinylglycine;;Isonicotinuric acid"	todo2	C8H8N2O3	180.053492	HMDB41912	C16623	160607	Isonicotinylglycine
	Acetophenone	Xenobiotics	C8H8O	120.057515	HMDB33910	C07113	7410	Acetophenone
	Phenylacetaldehyde	Xenobiotics	C8H8O	120.057515	HMDB06236	C00601	998	Phenylacetaldehyde
	Tolualdehyde	todo	C8H8O	120.057515	HMDB16072;HMDB29636;HMDB16074;HMDB29638;HMDB29637	C06758;C07209;C07214	7725;10722;12105	Tolualdehyde
	4-Hydroxystyrene;;4-Vinylphenol	todo2	C8H8O	120.057515	HMDB04072	C05627	62453	4-Hydroxystyrene
	"Phenylacetic acid"	Xenobiotics	C8H8O2	136.052429	HMDB00209	C07086	999	"Phenylacetic acid"
	"Toluic acid"	todo	C8H8O2	136.052429	HMDB29635;HMDB16071	C01454;C07211;C07215	7418;7470;8373	"Toluic acid"
	4-Hydroxyphenylacetaldehyde;;2-(4-Hydroxyphenyl)acetaldehyde	todo2	C8H8O2	136.052429	HMDB03767	C03765	440113	4-Hydroxyphenylacetaldehyde
	3,4-Dihydroxystyrene	todo2	C8H8O2	136.052429	NA	C06224	151398	3,4-Dihydroxystyrene
	3-Vinylcatechol	todo2	C8H8O2	136.052429	NA	C07085	441226	3-Vinylcatechol
	2-Hydroxyacetophenone;;omega-Hydroxyacetophenone	todo2	C8H8O2	136.052429	NA	C07189	68490	2-Hydroxyacetophenone
	4-Hydroxyacetophenone;;(4-Hydroxyphenyl)ethan-1-one	todo2	C8H8O2	136.052429	NA	C10700	7469	4-Hydroxyacetophenone
	3-Methylsalicylaldehyde;;2-Hydroxy-3-methylbenzaldehyde	todo2	C8H8O2	136.052429	NA	C14087	522777	3-Methylsalicylaldehyde
	"3-hydroxyphenylacetic acid"	Xenobiotics	C8H8O3	152.047344	HMDB00440	C05593	12122	"3-hydroxyphenylacetic acid"
	4-hydroxy-3-methoxy-benzaldehyde	todo	C8H8O3	152.047344	HMDB12308	C00755	1183	4-hydroxy-3-methoxy-benzaldehyde
	"4-hydroxyphenylacetic acid"	"Amino acids"	C8H8O3	152.047344	HMDB00020	C00642	127	"4-hydroxyphenylacetic acid"
	Dihydroxyacetophenone	Xenobiotics	C8H8O3	152.047344	HMDB29659	C03663	6990	Dihydroxyacetophenone
	"Mandelic acid"	Xenobiotics	C8H8O3	152.047344	HMDB00703	C01984	439616	"Mandelic acid"
	"(R)-Mandelate;;(R)-2-Hydroxy-2-phenylacetic acid;;(R)-2-Hydroxy-2-phenylacetate;;(R)-Mandelic acid"	todo2	C8H8O3	152.047344	NA	C01983	11914	(R)-Mandelate
	"4-Methoxybenzoate;;4-Methoxybenzoic acid;;4-Anisic acid"	todo2	C8H8O3	152.047344	HMDB01101	C02519	7478	4-Methoxybenzoate
	3,4-Dihydroxyphenylacetaldehyde;;Protocatechuatealdehyde	todo2	C8H8O3	152.047344	HMDB03791	C04043	119219	3,4-Dihydroxyphenylacetaldehyde
	"2-Hydroxyphenylacetate;;2-Hydroxyphenylacetic acid"	todo2	C8H8O3	152.047344	HMDB00669	C05852	11970	2-Hydroxyphenylacetate
	"4-Hydroxyphenacyl alcohol;;2,4-Dihydroxyacetophenone"	todo2	C8H8O3	152.047344	HMDB16093	C13635	440082	"4-Hydroxyphenacyl alcohol"
	"4-Hydroxyphenyl acetate"	todo2	C8H8O3	152.047344	NA	C13636	96009	"4-Hydroxyphenyl acetate"
	3-Methylsalicylate	todo2	C8H8O3	152.047344	HMDB02390	C14088	6738	3-Methylsalicylate
	"4-Methylsalicylate;;m-Cresotic acid;;2-Hydroxy-4-methylbenzoic acid"	todo2	C8H8O3	152.047344	NA	C14103	5788	4-Methylsalicylate
	4-Hydroxymethylsalicylaldehyde;;2-Hydroxy-4-hydroxymethyl-benzaldehyde	todo2	C8H8O3	152.047344	NA	C14108	656882	4-Hydroxymethylsalicylaldehyde
	3,4-dihydroxyphenylacetate	todo	C8H8O4	168.042259	HMDB01336	C01161	547	3,4-dihydroxyphenylacetate
	"4-hydroxymandelic acid"	Xenobiotics	C8H8O4	168.042259	HMDB00822	C11527	328	"4-hydroxymandelic acid"
	Homogentisate	Carbohydrates	C8H8O4	168.042259	HMDB00130	C00544	780	Homogentisate
	"Vanillic acid"	Xenobiotics	C8H8O4	168.042259	HMDB00484	C06672	8468	"Vanillic acid"
	(S)-4-Hydroxymandelate;;(S)-2-Hydroxy-2-(4-hydroxyphenyl)acetate;;L-4-Hydroxymandelate;;L-p-Hydroxymandelate	todo2	C8H8O4	168.042259	NA	C03198	439940	(S)-4-Hydroxymandelate
	3,4-Dihydroxymandelaldehyde;;3,4-Dihydroxyphenylglycolaldehyde	todo2	C8H8O4	168.042259	HMDB06242	C05577	151725	3,4-Dihydroxymandelaldehyde
	2,6-Dihydroxyphenylacetate	todo2	C8H8O4	168.042259	NA	C06207	440944	2,6-Dihydroxyphenylacetate
	2-Hydroxy-6-oxoocta-2,4,7-trienoate	todo2	C8H8O4	168.042259	NA	C07087	5281013	2-Hydroxy-6-oxoocta-2,4,7-trienoate
	"4-Hydroxymethylsalicylate;;2-Hydroxy-4-hydroxymethylbenzoic acid"	todo2	C8H8O4	168.042259	NA	C14109	656883	4-Hydroxymethylsalicylate
	"1,2-Dihydrophthalic acid;;Cyclohexa-3,5-diene-1,2-dicarboxylate"	todo2	C8H8O4	168.042259	NA	C16215	89904	"1,2-Dihydrophthalic acid"
	"3,4-Dihydroxymandelate;;3,4-Dihydroxymandelic acid;;Dihydroxymandelic acid"	todo2	C8H8O5	184.037173	HMDB01866	C05580	85782	3,4-Dihydroxymandelate
	"3-O-Methylgallate;;3-O-Methylgallic acid"	todo2	C8H8O5	184.037173	HMDB13635	C05616	19829	3-O-Methylgallate
